ID,Stop Name,Latitude,Longitude
179994802,Haymarket Station (Stop HA),55.945553,-3.217321
187949241,Airport Junction,55.937241,-3.360002
188003407,Airport Hotel,55.943039,-3.360622
187875658,Eastfield Road,55.939232,-3.358567
187719766,Ingliston Park & Ride,55.938885,-3.355801
187424657,Gogarstone Road,55.936939,-3.350642
186256109,Gogarburn A8,55.938309,-3.32967
186061744,Gogar Roundabout,55.939156,-3.326145
184840554,East Craigs Centre (Stop 1),55.952183,-3.303545
184870797,East Craigs Centre (Stop 3),55.952141,-3.304088
185034364,Bughtlin Drive,55.951893,-3.307026
185082945,Burnside,55.950375,-3.307984
185315065,Almond Green,55.949356,-3.312193
185421173,Craigs Road,55.947018,-3.314228
185314885,North Gyle Terrace,55.941921,-3.31263
185257460,Maybury Road,55.940865,-3.311666
184940584,Dechmont Road,55.941246,-3.305979
184660823,North Gyle Road,55.941704,-3.300951
184401636,Craigs Avenue,55.942329,-3.296281
183462538,Clerwood Terminus,55.94994,-3.279048
183444064,Rannoch Road,55.953674,-3.278499
183607047,Clermiston Crescent,55.95628,-3.281259
183910926,Drum Brae Hub,55.955593,-3.28673
184297886,Drum Brae Drive,55.954514,-3.293709
184470768,Drum Brae North,55.953796,-3.296841
184465370,Duart Crescent,55.952583,-3.296816
184376078,Drum Brae Park,55.949699,-3.29539
184342343,Drum Brae Gardens,55.948715,-3.294845
184279878,Templeland Road,55.945293,-3.29393
184153029,Drum Brae South,55.942924,-3.291802
183886664,St Ninians Road,55.943207,-3.287024
183698120,Glebe Road,55.942947,-3.283669
183451423,Station Road,55.942524,-3.279284
183121261,Belgrave Road,55.941895,-3.273419
182781430,Edinburgh Zoo (Stop 1),55.942345,-3.267318
182761919,Edinburgh Zoo (Stop 2),55.942383,-3.266967
182667787,Pinkhill,55.942543,-3.265275
182230948,Balgreen Road,55.944008,-3.257381
182082906,Belmont Crescent,55.944485,-3.254707
181770676,Balgreen Primary School,55.937649,-3.249523
181875129,Balgreen Tram,55.938824,-3.251322
181888164,Balgreen Road,55.939461,-3.251518
181911117,Saughtonhall Church,55.941875,-3.251788
181909126,Western Corner,55.943241,-3.251673
181831991,Western Corner,55.945,-3.250192
181515871,Murrayfield Road,55.94537,-3.24452
181283099,Ormidale Terrace,55.945755,-3.240337
180993136,Roseburn Gardens,55.945808,-3.235151
180638384,Wester Coates,55.945808,-3.22881
180305405,Magdala Crescent,55.946037,-3.222845
180044366,Haymarket Station (Stop HB),55.945969,-3.218183
179930045,West Maitland Street (Stop HC),55.946762,-3.216094
179909369,West Maitland Street (Stop HD),55.946926,-3.215715
179610489,Shandwick Place (Stop SA),55.949345,-3.210234
179573466,Shandwick Place (Stop SB),55.949646,-3.209555
179544155,Shandwick Place (Stop SC),55.949875,-3.209018
179754190,Torphichen Street (Stop HE),55.947071,-3.212933
179651122,Dewer Place (Stop XJ),55.946701,-3.211112
179500418,Morrison Street (Stop XK),55.945747,-3.208473
180195057,Dundee Terrace,55.939899,-3.221226
179973717,Fountain Park,55.940773,-3.217219
180071361,Fountain Park,55.941494,-3.218923
179794192,Gilmore Park,55.942127,-3.213932
179820681,Morrison Crescent,55.943859,-3.214306
179609548,Grove Street,55.943005,-3.210581
179462951,Port Hamilton,55.943607,-3.207926
179409284,Semple Street,55.945259,-3.206872
179254829,Bread Street,55.945908,-3.204074
179042428,West Port,55.946423,-3.200248
178810096,Grassmarket,55.94746,-3.196036
178627660,Merchant Street,55.947708,-3.192761
189510062,Sommerville Gardens,55.982651,-3.385157
189626430,Provost Milne Grove,55.98243,-3.387249
189833952,Atheling Grove,55.981983,-3.390983
190020171,Moubray Grove,55.982567,-3.394274
190150089,Lovers Lane,55.984688,-3.396466
190182073,Viewforth Place,55.986786,-3.39691
190226331,The Loan,55.989151,-3.397557
190324971,Queensferry Police Station,55.990959,-3.399209
190122256,Burgess Road,55.987175,-3.395818
189817424,Queen Margaret Drive,55.98756,-3.39035
189644780,Ashburnham Road,55.987335,-3.38728
189365097,Railway Station,55.986897,-3.382311
189015368,Bankhead Cottages,55.986439,-3.376092
188845968,Village Hall,55.98246,-3.373306
188173484,Easter Dalmeny,55.984402,-3.361177
187415063,Barnbougle Gate Lodge,55.980305,-3.347875
188856009,Primary School,55.979645,-3.373655
186273676,Burnshot Flyover,55.971725,-3.327996
185961848,Craigiehall,55.967999,-3.322646
185700053,Cramond Brig,55.965611,-3.31811
185433163,Braehead Avenue,55.962219,-3.313542
185180899,Cammo Crescent,55.961124,-3.309099
184954249,Barnton Junction,55.9608,-3.305068
184635635,Drum Brae North,55.960384,-3.299399
184380045,Parkgrove Road,55.960701,-3.294813
184116584,Parkgrove Street,55.961246,-3.290073
183764582,Clermiston Drive,55.961994,-3.283739
183537888,Clermiston Road North,55.958874,-3.279871
183697609,Queensferry Road,55.961521,-3.28257
183325522,Hillpark Steps,55.962734,-3.27585
183000463,Marchfield Park Lane,55.962452,-3.270058
182815009,Marchfield Park,55.962128,-3.266763
183219756,Quality Street,55.963966,-3.273888
185029436,Barnton Grove,55.961639,-3.306362
185088175,Braehead Grove,55.963291,-3.307314
185127582,Templar's Cramond,55.966728,-3.307815
185124368,Peggy's Mill Road,55.969902,-3.30757
185049201,Fair-A-Far Shot,55.971832,-3.306113
184938849,Fair-A-Far Cottages,55.973381,-3.30405
184663654,Cramond Glebe Road,55.975323,-3.299019
184543397,Cramond Place,55.974094,-3.296943
183648681,Barnton Gardens,55.970333,-3.281179
183469385,Barnton Park,55.968243,-3.278098
183319758,Barnton Avenue,55.966339,-3.275536
183149666,Main Street,55.965515,-3.272545
182979867,Corbiehill Road,55.965618,-3.269505
183133822,Lauriston Farm Road,55.971363,-3.27192
183021348,Silverknowes Court,55.969181,-3.270038
182951662,Silverknowes Crescent,55.967827,-3.268872
182824134,Silverknowes Midway,55.966549,-3.266668
182723848,Silverknowes Road East,55.966225,-3.264895
182462621,Silverknowes Neuk,55.965992,-3.260241
182177952,Muirhouse Green,55.966431,-3.255129
181985944,Groathill Road North,55.966934,-3.251669
183519768,Silverknowes Promenade,55.978592,-3.278392
183182088,Silverknowes Golf Course,55.972378,-3.272723
183081487,Silverknowes Terminus (Stop 2),55.972355,-3.270927
182854092,Muirhouse Gardens,55.972961,-3.266829
182698596,Muirhouse View,55.973423,-3.264024
182415878,Salvesen Crescent,55.974266,-3.258924
182220350,Salveson Gardens,55.974796,-3.2554
182081042,Craigroyston Community High School,55.97332,-3.252997
182513684,Martello Court,55.972332,-3.260784
182320392,Muirhouse Loan,55.97224,-3.257336
182109600,Pennywell Grove,55.972584,-3.25355
182049104,Muirhouse Hub,55.972157,-3.252494
181945692,Muirhouse Avenue,55.97015,-3.250763
181823521,Craigroyston Health Centre,55.967621,-3.248727
181852185,Drylaw Parish Church,55.964954,-3.249394
181763357,Drylaw School,55.962452,-3.247952
182870150,Vivian Terrace,55.964497,-3.26761
182685368,Corbiehill Avenue,55.963078,-3.264391
182602867,Blackhall Library,55.961651,-3.263
182212668,Telford Road,55.960197,-3.256112
182061143,Columba Avenue,55.959118,-3.253467
181911499,St Columba's Church,55.958065,-3.250854
181765790,Maidencraig Crescent,55.957085,-3.248307
181842006,Gaurdians Wood,55.946274,-3.250297
181694912,Kinellen Road,55.94677,-3.247639
181725871,Campbell Avenue,55.948292,-3.248104
181816813,Mary Erskine School,55.950504,-3.249601
181657297,Craigleith Rise,55.950676,-3.24674
181516001,Craigleith Avenue South,55.951618,-3.24416
181561697,Blinkbonny Terrace,55.956062,-3.244719
181386952,Craigleith Retail Park (Stop 1),55.957134,-3.241534
179931485,Chester Street,55.950115,-3.215927
179780379,Drumsheugh Gardens,55.951443,-3.21315
181495614,Craigleith Road,55.956459,-3.243515
181314379,Craigleith Drive,55.955719,-3.240319
180888167,Orchard Road,55.954716,-3.23276
180686828,Queensferry Terrace,55.954781,-3.229158
180513734,Stewart's Melville,55.954929,-3.226056
181189634,Craigleith Hill,55.956577,-3.23804
180974982,Craigleith Hill Crescent,55.957199,-3.234168
180653702,Orchard Place,55.958195,-3.228369
182201281,Whitehall Court,55.960773,-3.255875
181833659,Drylaw Avenue,55.960751,-3.249307
181583190,Groathill Road South,55.96122,-3.244804
181349778,Telford Drive,55.962395,-3.240565
181246845,Telford Gardens,55.964031,-3.238631
181208781,Telford Place,55.966984,-3.23778
181735591,Drylaw Police Station,55.96743,-3.247167
181501017,Ferry Road Drive,55.967857,-3.242951
181227412,Crewe Toll,55.968365,-3.238033
181498297,Waterfront Broadway,55.978359,-3.242294
181441166,Waterfront Avenue,55.979126,-3.241229
181159490,Saltire Square,55.980911,-3.236094
180829814,Waterfront Lighthouse,55.981915,-3.230147
180754973,Chestnut Street,55.983807,-3.228701
180549197,Granton Harbour,55.983032,-3.22507
182076260,Pennywell Cottages,55.975567,-3.252781
181913753,Waterfront Gait,55.976425,-3.249828
181653690,Edinburgh College,55.976616,-3.245171
181549223,Granton Mains East,55.976715,-3.243299
181506301,West Granton Terminus,55.979412,-3.242376
181315750,Royston Mains Crescent,55.976665,-3.239131
181272311,Boswall Parkway,55.974625,-3.238473
181240869,Crewe Road West,55.972832,-3.238015
181200975,Crewe Road Gardens,55.971142,-3.2374
181148484,Crewe Toll,55.969433,-3.236561
181080703,Crewe Toll,55.96772,-3.235449
180977777,North Werber Park,55.965435,-3.233742
180913287,West Woods,55.964027,-3.232671
180976081,Western General Hospital,55.962955,-3.233855
180768353,Western General,55.961571,-3.230223
180661920,Comely Bank Cemetery,55.960186,-3.228401
180487854,Flora Stevenson School,55.958008,-3.225416
180369785,Orchard Brae Avenue,55.956429,-3.223397
180134464,Learmonth Terrace,55.955257,-3.219259
179913010,Dean Bridge,55.954514,-3.215344
179972401,Comely Bank Avenue,55.955826,-3.21633
179827214,Ann Street,55.957451,-3.213642
179686947,Carlton Street,55.957718,-3.21112
180458660,Flora Stevenson School,55.958794,-3.224849
180270066,Learmonth Grove,55.959259,-3.221452
179977976,Dean Park Street,55.959473,-3.21622
179793769,Cheyne Street,55.959198,-3.212944
179614834,Raeburn Place,55.958717,-3.209774
179534397,Hamilton Place,55.958221,-3.208365
179347344,Edinburgh Academy,55.960094,-3.204915
179170402,Perth Street,55.960567,-3.201726
181234413,Caroline Park Grove,55.977615,-3.237623
181137151,Royston Mains Street,55.978073,-3.235859
181034813,Royston Mains Road,55.978416,-3.234011
180857466,Granton Park Avenue,55.979904,-3.230757
180527970,Granton Square,55.980755,-3.224822
180477212,Granton Square,55.980656,-3.223921
181253093,Boswall Parkway,55.975086,-3.238103
181056663,Crewe Bank,55.975445,-3.234573
180315070,Granton Gardens,55.977104,-3.221229
180895348,Royston Mains Gardens,55.975655,-3.231679
180845666,Pilton Drive North,55.97665,-3.230734
180779612,Wardieburn Road,55.978695,-3.229436
180539388,Granton Crescent,55.979088,-3.225122
180415559,Granton Terrace,55.978184,-3.222962
180626161,Granton Primary School,55.975811,-3.226861
180463910,Pilton Crescent,55.976009,-3.223951
180164327,Wardie Crescent,55.977818,-3.218495
180014488,Grierson Avenue,55.976917,-3.21587
179970176,Boswall Green,55.974678,-3.215207
179924139,Fraser Avenue,55.972267,-3.214523
181038117,Crewe Toll,55.968708,-3.234631
180786697,Pilton Drive,55.969173,-3.230112
180437471,East Fettes Avenue,55.969822,-3.223835
180196634,Boswall Drive,55.970257,-3.219507
179828048,Wardie Road,55.970982,-3.21288
179543052,St James Church,55.970112,-3.207838
179473692,Goldenacre Terrace,55.968956,-3.206665
179413519,Warriston Gardens,55.967854,-3.205653
179314521,Warriston Drive,55.966145,-3.203982
179234576,Royal Botanic Garden,55.964844,-3.202628
178993051,Canonmills,55.962593,-3.198441
179085762,Brandon Terrace,55.962307,-3.200114
179111116,Airlie Place,55.960175,-3.200689
179074125,Fettes Row,55.959038,-3.200093
179020549,Great King Street,55.957439,-3.199227
179506486,Kerr Street,55.957649,-3.207899
179384801,Circus Lane,55.95715,-3.205753
179282313,Royal Circus,55.957088,-3.203925
179015164,Dundas Street,55.957977,-3.1991
178819918,Drummond Place,55.95892,-3.195557
179697308,Drumsheugh Place (Stop QA),55.951675,-3.211652
179527413,Queensferry Street (Stop QC),55.950481,-3.208684
179188157,Howe Street,55.956535,-3.202274
179141784,Queen Street Gardens West,55.955124,-3.201526
180051470,New Swanston,55.90263,-3.220805
179808973,Swanston Road,55.902233,-3.21649
179599670,Caiystane View,55.902214,-3.212747
179354706,Fairmile Avenue,55.902214,-3.208365
179241317,Fairmilehead Crossroads,55.901894,-3.206355
179075864,Swanston Drive,55.896996,-3.203676
179108657,Swanston Avenue,55.899101,-3.204142
179168140,Fairmilehead Crossroads,55.902103,-3.205034
179293029,Caiystane Crescent,55.904213,-3.207147
179377635,Buckstone Road,55.906677,-3.208519
179461831,Pentland View,55.909046,-3.209889
179561333,Comiston Rise,55.910538,-3.211583
179687906,Comiston Springs Avenue,55.912971,-3.213707
179694561,Riselaw Road,55.91539,-3.213687
179683150,Braid Hills Hotel,55.917233,-3.213377
178899643,Frogston Avenue,55.900234,-3.200338
178552279,Margaret Rose Avenue,55.899044,-3.194192
178340165,Marie Curie Hospice,55.899174,-3.19039
177516523,Mortonhall Gate,55.899853,-3.175617
177317541,Mortonhall Park Avenue,55.899754,-3.172063
177179340,Mortonhall Park Gardens,55.899643,-3.169597
176896395,Kaimes Crossroads,55.899914,-3.16452
180309627,Oxgangs Place,55.907951,-3.225116
180165318,Oxgangs Green,55.909145,-3.222466
180069170,Oxgangs Crescent,55.910313,-3.220679
179995571,Braidburn Valley,55.911522,-3.219293
179907293,Greenbank Row,55.913731,-3.217587
179883608,Greenbank Park,55.915806,-3.217044
179862147,Greenbank Loan,55.917965,-3.216536
179649525,Braid Burn,55.919838,-3.212626
179609266,South Morningside Primary School,55.921284,-3.211823
179536050,Comiston Gardens,55.92384,-3.210367
180640103,Greenbank Terminus,55.916813,-3.230515
180485003,Greenbank Village,55.916748,-3.227745
180237359,Ashy Path,55.916786,-3.223314
180194568,Greenbank Drive,55.918968,-3.222423
180161942,Craiglea Drive,55.921043,-3.22172
180217842,Morningside Gardens,55.922199,-3.222653
180138747,St Clair Terrace,55.922314,-3.221232
179934554,St Fillans Terrace,55.922638,-3.217562
179762461,Dalhousie Terrace,55.923119,-3.214457
179538928,Morningside Drive,55.924423,-3.210385
179437548,Cluny Gardens,55.92474,-3.208554
179124612,Braid Avenue,55.924973,-3.202945
178949718,Midmar Avenue,55.925632,-3.19978
178625432,Blackford Pond,55.926113,-3.193954
178395237,Oswald Road,55.92627,-3.189829
178277640,Maurice Place,55.92638,-3.18772
178273249,Blackford Avenue,55.927494,-3.187578
178347587,South Oswald Road,55.929146,-3.188813
178295059,St Thomas Road,55.931213,-3.187756
178265896,St Thomas Road,55.931469,-3.18722
178072938,Dalrymple Crescent,55.932472,-3.183713
178193136,Dick Place,55.933613,-3.185797
